name,N_bufferedPt,N_polygon,sed_bufferedPt,sed_polygon,nature_bufferedPt,nature_polygon,endemic_bufferedPt,endemic_polygon,redlist_bufferedPt,redlist_polygon,richness_bufferedPt,richness_polygon
Altura,17.53908033,0.122813471,12.51863213,0.053673202,0.054922897,0.091581549,4.33E-05,5.85E-05,36.71458354,49.6479023,0.286916416,0.388066859
Alvarroes,47471300.55,14840998.44,101791843.7,14574733.32,33965.2349,10871.0975,8.54E-06,2.76E-06,73.42916708,23.50213791,0.194305584,0.062342398
Bikita,25127383.87,195060342.7,76720908.53,516774536.6,1957.51249,14728.00886,1.57E-05,0.000130023,102.8008339,852.7143432,0.500830129,4.153892222
Cachoeira,72105415.43,20845153.78,137707054.3,33150869.57,368.808591,254.3325706,2.32E-05,6.47E-06,80.77208379,22.56061806,0.468463969,0.131260302
Chaerhan Lake,0,3851348.806,0,196432.03,52.62672304,4382.569363,4.00E-06,0.015756599,58.74333367,245268.078,0.060569673,372.5273057
East Taijinair,0,2.70E-14,0,0,22.73733666,894.7865243,2.83E-06,0.001244851,44.05750025,19445.52412,0.045347153,35.10709174
Finniss,196.3675321,0,15.44122218,0,8.804003045,11.11732628,8.84E-05,0.000251383,73.42916708,226.4242638,0.369856425,1.259969598
Greenbushes,790368.5423,10714203.85,122796.1583,5282561.213,1595.209144,70167.17932,5.07E-05,0.001631481,36.71458354,920.5829112,0.212394986,4.500432947
Jiajika,2139869732,19257443784,101913834.8,25640864347,218.6354525,731.7049709,2.20E-05,0.000153695,124.829584,863.5469288,0.286270901,1.983654824
Jintaier Lake,1796310.564,2680568073,137646.8746,129222260,0.045021885,3813263.28,4.12E-06,0.013587874,58.74333367,182809.27,0.11457509,326.3740099
Manono,64104413.47,1628515843,760705560.4,18446143681,38629.97935,963261.6606,1.37E-05,0.000340291,66.08625037,1647.099306,0.304863127,8.020837566
Mount Marion,603.2163051,10483.93697,70.59563691,1033.435307,0,0,9.14E-06,0.000150402,7.342916708,121.0661246,0.22149711,3.650361178
Mt Cattlin,197621.622,845601.9228,11950.67275,43978.74032,115.8124328,613.7051258,0.000124011,0.00065595,36.71458354,194.5553475,0.225260995,1.192108128
Pilgangoora,154.1525117,878.7712964,114.2423128,527.2358987,0.239409043,4.595353778,4.31E-05,0.000657274,36.71458354,560.6234255,0.282161575,4.288558836
Qarhan Lake,0,3834179.557,0,0,0.207941666,5394.850656,4.05E-06,0.013664273,51.40041696,191618.4319,0.012503435,290.9544986
Salar de Atacama 37384,0,0,0,0,0,0,7.32E-06,0.000617185,29.37166683,2326.978124,0.068054848,5.481196623
Salar de Atacama 52581,0,0,0,0,0,0,9.51E-06,0.000328768,29.37166683,1017.661386,0.070749895,2.388859196
Salar de Olaroz,1.398568983,10215.23437,0,618940.5934,0,910.9338822,1.54E-05,0.010670672,29.37166683,20406.94475,0,61.44625497
Salar del Hombre Muerto,1.517544676,674.6969272,0,525672.8515,0,24.46286149,1.45E-05,0.007413633,29.37166683,16193.43804,0.103801834,53.69646804
Silver Peak,10756.50019,1265384.672,5129.822684,244787.5792,11.00970199,811.3472218,1.22E-05,0.000781687,14.68583342,940.3720754,0.170926462,12.25898619
West Taijinair,209.8000879,374483.0468,0,17550.41557,0.358468643,359.1278408,2.73E-06,0.005627363,44.05750025,91531.93782,0.087172184,150.6655614
Yichun,32793898.2,3500329901,2174293900,84633352821,1758.944444,16159.50748,1.66E-05,0.000226766,124.829584,1704.621066,0.32801852,4.476692264
Zhabuye,0.034772246,25386322.72,0,90893546.05,0.019134875,14507.94627,2.82E-06,0.006677631,29.37166683,72942.48864,0.073237814,161.3799693
