name,N_bufferedPt,N_bufferedPt_Rank,N_polygon,N_polygon_Rank,sed_bufferedPt,sed_bufferedPt_Rank,sed_polygon,sed_polygon_Rank,nature_bufferedPt,nature_bufferedPt_Rank,nature_polygon,nature_polygon_Rank,endemic_bufferedPt,endemic_bufferedPt_Rank,endemic_polygon,endemic_polygon_Rank,redlist_bufferedPt,redlist_bufferedPt_Rank,redlist_polygon,redlist_polygon_Rank,richness_bufferedPt,richness_bufferedPt_Rank,richness_polygon,richness_polygon_Rank
Altura,17.53908033,15,0.122813471,19,12.51863213,14,0.053673202,18,0.054922897,16,0.091581549,20,4.33E-05,4,5.85E-05,21,36.71458354,13,49.6479023,21,0.286916416,6,0.388066859,21
Alvarroes,47471300.55,4,14840998.44,8,101791843.7,5,14574733.32,8,33965.2349,2,10871.0975,7,8.54E-06,16,2.76E-06,23,73.42916708,5,23.50213791,22,0.194305584,12,0.062342398,23
Bikita,25127383.87,6,195060342.7,5,76720908.53,6,516774536.6,4,1957.51249,3,14728.00886,5,1.57E-05,9,0.000130023,20,102.8008339,3,852.7143432,16,0.500830129,1,4.153892222,15
Cachoeira,72105415.43,2,20845153.78,7,137707054.3,3,33150869.57,7,368.808591,6,254.3325706,16,2.32E-05,6,6.47E-06,22,80.77208379,4,22.56061806,23,0.468463969,2,0.131260302,22
Chaerhan Lake,0,19,3851348.806,10,0,15,196432.03,13,52.62672304,9,4382.569363,9,4.00E-06,20,0.015756599,1,58.74333367,8,245268.078,1,0.060569673,20,372.5273057,1
East Taijinair,0,19,2.70E-14,20,0,15,0,19,22.73733666,10,894.7865243,11,2.83E-06,21,0.001244851,9,44.05750025,11,19445.52412,7,0.045347153,21,35.10709174,8
Finniss,196.3675321,13,0,21,15.44122218,13,0,19,8.804003045,12,11.11732628,18,8.84E-05,2,0.000251383,16,73.42916708,6,226.4242638,18,0.369856425,3,1.259969598,19
Greenbushes,790368.5423,8,10714203.85,9,122796.1583,8,5282561.213,9,1595.209144,5,70167.17932,3,5.07E-05,3,0.001631481,8,36.71458354,15,920.5829112,14,0.212394986,11,4.500432947,12
Jiajika,2139869732,1,19257443784,1,101913834.8,4,25640864347,2,218.6354525,7,731.7049709,13,2.20E-05,7,0.000153695,18,124.829584,1,863.5469288,15,0.286270901,7,1.983654824,18
Jintaier Lake,1796310.564,7,2680568073,3,137646.8746,7,129222260,5,0.045021885,17,3813263.28,1,4.12E-06,18,0.013587874,3,58.74333367,8,182809.27,3,0.11457509,14,326.3740099,2
Manono,64104413.47,3,1628515843,4,760705560.4,2,18446143681,3,38629.97935,1,963261.6606,2,1.37E-05,12,0.000340291,14,66.08625037,7,1647.099306,11,0.304863127,5,8.020837566,10
Mount Marion,603.2163051,11,10483.93697,15,70.59563691,12,1033.435307,16,0,19,0,21,9.14E-06,15,0.000150402,19,7.342916708,23,121.0661246,20,0.22149711,10,3.650361178,16
Mt Cattlin,197621.622,9,845601.9228,13,11950.67275,9,43978.74032,14,115.8124328,8,613.7051258,14,0.000124011,1,0.00065595,12,36.71458354,15,194.5553475,19,0.225260995,9,1.192108128,20
Pilgangoora,154.1525117,14,878.7712964,17,114.2423128,11,527.2358987,17,0.239409043,14,4.595353778,19,4.31E-05,5,0.000657274,11,36.71458354,13,560.6234255,17,0.282161575,8,4.288558836,14
Qarhan Lake,0,19,3834179.557,11,0,15,0,19,0.207941666,15,5394.850656,8,4.05E-06,19,0.013664273,2,51.40041696,10,191618.4319,2,0.012503435,22,290.9544986,3
Salar de Atacama 37384,0,19,0,21,0,15,0,19,0,19,0,21,7.32E-06,17,0.000617185,13,29.37166683,17,2326.978124,9,0.068054848,19,5.481196623,11
Salar de Atacama 52581,0,19,0,21,0,15,0,19,0,19,0,21,9.51E-06,14,0.000328768,15,29.37166683,17,1017.661386,12,0.070749895,18,2.388859196,17
Salar de Olaroz,1.398568983,17,10215.23437,16,0,15,618940.5934,10,0,19,910.9338822,10,1.54E-05,10,0.010670672,4,29.37166683,17,20406.94475,6,0,23,61.44625497,6
Salar del Hombre Muerto,1.517544676,16,674.6969272,18,0,15,525672.8515,11,0,19,24.46286149,17,1.45E-05,11,0.007413633,5,29.37166683,17,16193.43804,8,0.103801834,15,53.69646804,7
Silver Peak,10756.50019,10,1265384.672,12,5129.822684,10,244787.5792,12,11.00970199,11,811.3472218,12,1.22E-05,13,0.000781687,10,14.68583342,22,940.3720754,13,0.170926462,13,12.25898619,9
West Taijinair,209.8000879,12,374483.0468,14,0,15,17550.41557,15,0.358468643,13,359.1278408,15,2.73E-06,23,0.005627363,7,44.05750025,11,91531.93782,4,0.087172184,16,150.6655614,5
Yichun,32793898.2,5,3500329901,2,2174293900,1,84633352821,1,1758.944444,4,16159.50748,4,1.66E-05,8,0.000226766,17,124.829584,1,1704.621066,10,0.32801852,4,4.476692264,13
Zhabuye,0.034772246,18,25386322.72,6,0,15,90893546.05,6,0.019134875,18,14507.94627,6,2.82E-06,22,0.006677631,6,29.37166683,17,72942.48864,5,0.073237814,17,161.3799693,4
